year,election_date,start_date,date,event_type
2000,2000-11-07,2000-08-07,2000-08-07,election_window
2000,2000-11-07,2000-08-07,2000-08-08,election_window
2000,2000-11-07,2000-08-07,2000-08-09,election_window
2000,2000-11-07,2000-08-07,2000-08-10,election_window
2000,2000-11-07,2000-08-07,2000-08-11,election_window
2000,2000-11-07,2000-08-07,2000-08-12,election_window
2000,2000-11-07,2000-08-07,2000-08-13,election_window
2000,2000-11-07,2000-08-07,2000-08-14,election_window
2000,2000-11-07,2000-08-07,2000-08-15,election_window
2000,2000-11-07,2000-08-07,2000-08-16,election_window
2000,2000-11-07,2000-08-07,2000-08-17,election_window
2000,2000-11-07,2000-08-07,2000-08-18,election_window
2000,2000-11-07,2000-08-07,2000-08-19,election_window
2000,2000-11-07,2000-08-07,2000-08-20,election_window
2000,2000-11-07,2000-08-07,2000-08-21,election_window
2000,2000-11-07,2000-08-07,2000-08-22,election_window
2000,2000-11-07,2000-08-07,2000-08-23,election_window
2000,2000-11-07,2000-08-07,2000-08-24,election_window
2000,2000-11-07,2000-08-07,2000-08-25,election_window
2000,2000-11-07,2000-08-07,2000-08-26,election_window
2000,2000-11-07,2000-08-07,2000-08-27,election_window
2000,2000-11-07,2000-08-07,2000-08-28,election_window
2000,2000-11-07,2000-08-07,2000-08-29,election_window
2000,2000-11-07,2000-08-07,2000-08-30,election_window
2000,2000-11-07,2000-08-07,2000-08-31,election_window
2000,2000-11-07,2000-08-07,2000-09-01,election_window
2000,2000-11-07,2000-08-07,2000-09-02,election_window
2000,2000-11-07,2000-08-07,2000-09-03,election_window
2000,2000-11-07,2000-08-07,2000-09-04,election_window
2000,2000-11-07,2000-08-07,2000-09-05,election_window
2000,2000-11-07,2000-08-07,2000-09-06,election_window
2000,2000-11-07,2000-08-07,2000-09-07,election_window
2000,2000-11-07,2000-08-07,2000-09-08,election_window
2000,2000-11-07,2000-08-07,2000-09-09,election_window
2000,2000-11-07,2000-08-07,2000-09-10,election_window
2000,2000-11-07,2000-08-07,2000-09-11,election_window
2000,2000-11-07,2000-08-07,2000-09-12,election_window
2000,2000-11-07,2000-08-07,2000-09-13,election_window
2000,2000-11-07,2000-08-07,2000-09-14,election_window
2000,2000-11-07,2000-08-07,2000-09-15,election_window
2000,2000-11-07,2000-08-07,2000-09-16,election_window
2000,2000-11-07,2000-08-07,2000-09-17,election_window
2000,2000-11-07,2000-08-07,2000-09-18,election_window
2000,2000-11-07,2000-08-07,2000-09-19,election_window
2000,2000-11-07,2000-08-07,2000-09-20,election_window
2000,2000-11-07,2000-08-07,2000-09-21,election_window
2000,2000-11-07,2000-08-07,2000-09-22,election_window
2000,2000-11-07,2000-08-07,2000-09-23,election_window
2000,2000-11-07,2000-08-07,2000-09-24,election_window
2000,2000-11-07,2000-08-07,2000-09-25,election_window
2000,2000-11-07,2000-08-07,2000-09-26,election_window
2000,2000-11-07,2000-08-07,2000-09-27,election_window
2000,2000-11-07,2000-08-07,2000-09-28,election_window
2000,2000-11-07,2000-08-07,2000-09-29,election_window
2000,2000-11-07,2000-08-07,2000-09-30,election_window
2000,2000-11-07,2000-08-07,2000-10-01,election_window
2000,2000-11-07,2000-08-07,2000-10-02,election_window
2000,2000-11-07,2000-08-07,2000-10-03,election_window
2000,2000-11-07,2000-08-07,2000-10-04,election_window
2000,2000-11-07,2000-08-07,2000-10-05,election_window
2000,2000-11-07,2000-08-07,2000-10-06,election_window
2000,2000-11-07,2000-08-07,2000-10-07,election_window
2000,2000-11-07,2000-08-07,2000-10-08,election_window
2000,2000-11-07,2000-08-07,2000-10-09,election_window
2000,2000-11-07,2000-08-07,2000-10-10,election_window
2000,2000-11-07,2000-08-07,2000-10-11,election_window
2000,2000-11-07,2000-08-07,2000-10-12,election_window
2000,2000-11-07,2000-08-07,2000-10-13,election_window
2000,2000-11-07,2000-08-07,2000-10-14,election_window
2000,2000-11-07,2000-08-07,2000-10-15,election_window
2000,2000-11-07,2000-08-07,2000-10-16,election_window
2000,2000-11-07,2000-08-07,2000-10-17,election_window
2000,2000-11-07,2000-08-07,2000-10-18,election_window
2000,2000-11-07,2000-08-07,2000-10-19,election_window
2000,2000-11-07,2000-08-07,2000-10-20,election_window
2000,2000-11-07,2000-08-07,2000-10-21,election_window
2000,2000-11-07,2000-08-07,2000-10-22,election_window
2000,2000-11-07,2000-08-07,2000-10-23,election_window
2000,2000-11-07,2000-08-07,2000-10-24,election_window
2000,2000-11-07,2000-08-07,2000-10-25,election_window
2000,2000-11-07,2000-08-07,2000-10-26,election_window
2000,2000-11-07,2000-08-07,2000-10-27,election_window
2000,2000-11-07,2000-08-07,2000-10-28,election_window
2000,2000-11-07,2000-08-07,2000-10-29,election_window
2000,2000-11-07,2000-08-07,2000-10-30,election_window
2000,2000-11-07,2000-08-07,2000-10-31,election_window
2000,2000-11-07,2000-08-07,2000-11-01,election_window
2000,2000-11-07,2000-08-07,2000-11-02,election_window
2000,2000-11-07,2000-08-07,2000-11-03,election_window
2000,2000-11-07,2000-08-07,2000-11-04,election_window
2000,2000-11-07,2000-08-07,2000-11-05,election_window
2000,2000-11-07,2000-08-07,2000-11-06,election_window
2000,2000-11-07,2000-08-07,2000-11-07,election_window
2004,2004-11-02,2004-08-02,2004-08-02,election_window
2004,2004-11-02,2004-08-02,2004-08-03,election_window
2004,2004-11-02,2004-08-02,2004-08-04,election_window
2004,2004-11-02,2004-08-02,2004-08-05,election_window
2004,2004-11-02,2004-08-02,2004-08-06,election_window
2004,2004-11-02,2004-08-02,2004-08-07,election_window
2004,2004-11-02,2004-08-02,2004-08-08,election_window
2004,2004-11-02,2004-08-02,2004-08-09,election_window
2004,2004-11-02,2004-08-02,2004-08-10,election_window
2004,2004-11-02,2004-08-02,2004-08-11,election_window
2004,2004-11-02,2004-08-02,2004-08-12,election_window
2004,2004-11-02,2004-08-02,2004-08-13,election_window
2004,2004-11-02,2004-08-02,2004-08-14,election_window
2004,2004-11-02,2004-08-02,2004-08-15,election_window
2004,2004-11-02,2004-08-02,2004-08-16,election_window
2004,2004-11-02,2004-08-02,2004-08-17,election_window
2004,2004-11-02,2004-08-02,2004-08-18,election_window
2004,2004-11-02,2004-08-02,2004-08-19,election_window
2004,2004-11-02,2004-08-02,2004-08-20,election_window
2004,2004-11-02,2004-08-02,2004-08-21,election_window
2004,2004-11-02,2004-08-02,2004-08-22,election_window
2004,2004-11-02,2004-08-02,2004-08-23,election_window
2004,2004-11-02,2004-08-02,2004-08-24,election_window
2004,2004-11-02,2004-08-02,2004-08-25,election_window
2004,2004-11-02,2004-08-02,2004-08-26,election_window
2004,2004-11-02,2004-08-02,2004-08-27,election_window
2004,2004-11-02,2004-08-02,2004-08-28,election_window
2004,2004-11-02,2004-08-02,2004-08-29,election_window
2004,2004-11-02,2004-08-02,2004-08-30,election_window
2004,2004-11-02,2004-08-02,2004-08-31,election_window
2004,2004-11-02,2004-08-02,2004-09-01,election_window
2004,2004-11-02,2004-08-02,2004-09-02,election_window
2004,2004-11-02,2004-08-02,2004-09-03,election_window
2004,2004-11-02,2004-08-02,2004-09-04,election_window
2004,2004-11-02,2004-08-02,2004-09-05,election_window
2004,2004-11-02,2004-08-02,2004-09-06,election_window
2004,2004-11-02,2004-08-02,2004-09-07,election_window
2004,2004-11-02,2004-08-02,2004-09-08,election_window
2004,2004-11-02,2004-08-02,2004-09-09,election_window
2004,2004-11-02,2004-08-02,2004-09-10,election_window
2004,2004-11-02,2004-08-02,2004-09-11,election_window
2004,2004-11-02,2004-08-02,2004-09-12,election_window
2004,2004-11-02,2004-08-02,2004-09-13,election_window
2004,2004-11-02,2004-08-02,2004-09-14,election_window
2004,2004-11-02,2004-08-02,2004-09-15,election_window
2004,2004-11-02,2004-08-02,2004-09-16,election_window
2004,2004-11-02,2004-08-02,2004-09-17,election_window
2004,2004-11-02,2004-08-02,2004-09-18,election_window
2004,2004-11-02,2004-08-02,2004-09-19,election_window
2004,2004-11-02,2004-08-02,2004-09-20,election_window
2004,2004-11-02,2004-08-02,2004-09-21,election_window
2004,2004-11-02,2004-08-02,2004-09-22,election_window
2004,2004-11-02,2004-08-02,2004-09-23,election_window
2004,2004-11-02,2004-08-02,2004-09-24,election_window
2004,2004-11-02,2004-08-02,2004-09-25,election_window
2004,2004-11-02,2004-08-02,2004-09-26,election_window
2004,2004-11-02,2004-08-02,2004-09-27,election_window
2004,2004-11-02,2004-08-02,2004-09-28,election_window
2004,2004-11-02,2004-08-02,2004-09-29,election_window
2004,2004-11-02,2004-08-02,2004-09-30,election_window
2004,2004-11-02,2004-08-02,2004-10-01,election_window
2004,2004-11-02,2004-08-02,2004-10-02,election_window
2004,2004-11-02,2004-08-02,2004-10-03,election_window
2004,2004-11-02,2004-08-02,2004-10-04,election_window
2004,2004-11-02,2004-08-02,2004-10-05,election_window
2004,2004-11-02,2004-08-02,2004-10-06,election_window
2004,2004-11-02,2004-08-02,2004-10-07,election_window
2004,2004-11-02,2004-08-02,2004-10-08,election_window
2004,2004-11-02,2004-08-02,2004-10-09,election_window
2004,2004-11-02,2004-08-02,2004-10-10,election_window
2004,2004-11-02,2004-08-02,2004-10-11,election_window
2004,2004-11-02,2004-08-02,2004-10-12,election_window
2004,2004-11-02,2004-08-02,2004-10-13,election_window
2004,2004-11-02,2004-08-02,2004-10-14,election_window
2004,2004-11-02,2004-08-02,2004-10-15,election_window
2004,2004-11-02,2004-08-02,2004-10-16,election_window
2004,2004-11-02,2004-08-02,2004-10-17,election_window
2004,2004-11-02,2004-08-02,2004-10-18,election_window
2004,2004-11-02,2004-08-02,2004-10-19,election_window
2004,2004-11-02,2004-08-02,2004-10-20,election_window
2004,2004-11-02,2004-08-02,2004-10-21,election_window
2004,2004-11-02,2004-08-02,2004-10-22,election_window
2004,2004-11-02,2004-08-02,2004-10-23,election_window
2004,2004-11-02,2004-08-02,2004-10-24,election_window
2004,2004-11-02,2004-08-02,2004-10-25,election_window
2004,2004-11-02,2004-08-02,2004-10-26,election_window
2004,2004-11-02,2004-08-02,2004-10-27,election_window
2004,2004-11-02,2004-08-02,2004-10-28,election_window
2004,2004-11-02,2004-08-02,2004-10-29,election_window
2004,2004-11-02,2004-08-02,2004-10-30,election_window
2004,2004-11-02,2004-08-02,2004-10-31,election_window
2004,2004-11-02,2004-08-02,2004-11-01,election_window
2004,2004-11-02,2004-08-02,2004-11-02,election_window
2008,2008-11-04,2008-08-04,2008-08-04,election_window
2008,2008-11-04,2008-08-04,2008-08-05,election_window
2008,2008-11-04,2008-08-04,2008-08-06,election_window
2008,2008-11-04,2008-08-04,2008-08-07,election_window
2008,2008-11-04,2008-08-04,2008-08-08,election_window
2008,2008-11-04,2008-08-04,2008-08-09,election_window
2008,2008-11-04,2008-08-04,2008-08-10,election_window
2008,2008-11-04,2008-08-04,2008-08-11,election_window
2008,2008-11-04,2008-08-04,2008-08-12,election_window
2008,2008-11-04,2008-08-04,2008-08-13,election_window
2008,2008-11-04,2008-08-04,2008-08-14,election_window
2008,2008-11-04,2008-08-04,2008-08-15,election_window
2008,2008-11-04,2008-08-04,2008-08-16,election_window
2008,2008-11-04,2008-08-04,2008-08-17,election_window
2008,2008-11-04,2008-08-04,2008-08-18,election_window
2008,2008-11-04,2008-08-04,2008-08-19,election_window
2008,2008-11-04,2008-08-04,2008-08-20,election_window
2008,2008-11-04,2008-08-04,2008-08-21,election_window
2008,2008-11-04,2008-08-04,2008-08-22,election_window
2008,2008-11-04,2008-08-04,2008-08-23,election_window
2008,2008-11-04,2008-08-04,2008-08-24,election_window
2008,2008-11-04,2008-08-04,2008-08-25,election_window
2008,2008-11-04,2008-08-04,2008-08-26,election_window
2008,2008-11-04,2008-08-04,2008-08-27,election_window
2008,2008-11-04,2008-08-04,2008-08-28,election_window
2008,2008-11-04,2008-08-04,2008-08-29,election_window
2008,2008-11-04,2008-08-04,2008-08-30,election_window
2008,2008-11-04,2008-08-04,2008-08-31,election_window
2008,2008-11-04,2008-08-04,2008-09-01,election_window
2008,2008-11-04,2008-08-04,2008-09-02,election_window
2008,2008-11-04,2008-08-04,2008-09-03,election_window
2008,2008-11-04,2008-08-04,2008-09-04,election_window
2008,2008-11-04,2008-08-04,2008-09-05,election_window
2008,2008-11-04,2008-08-04,2008-09-06,election_window
2008,2008-11-04,2008-08-04,2008-09-07,election_window
2008,2008-11-04,2008-08-04,2008-09-08,election_window
2008,2008-11-04,2008-08-04,2008-09-09,election_window
2008,2008-11-04,2008-08-04,2008-09-10,election_window
2008,2008-11-04,2008-08-04,2008-09-11,election_window
2008,2008-11-04,2008-08-04,2008-09-12,election_window
2008,2008-11-04,2008-08-04,2008-09-13,election_window
2008,2008-11-04,2008-08-04,2008-09-14,election_window
2008,2008-11-04,2008-08-04,2008-09-15,election_window
2008,2008-11-04,2008-08-04,2008-09-16,election_window
2008,2008-11-04,2008-08-04,2008-09-17,election_window
2008,2008-11-04,2008-08-04,2008-09-18,election_window
2008,2008-11-04,2008-08-04,2008-09-19,election_window
2008,2008-11-04,2008-08-04,2008-09-20,election_window
2008,2008-11-04,2008-08-04,2008-09-21,election_window
2008,2008-11-04,2008-08-04,2008-09-22,election_window
2008,2008-11-04,2008-08-04,2008-09-23,election_window
2008,2008-11-04,2008-08-04,2008-09-24,election_window
2008,2008-11-04,2008-08-04,2008-09-25,election_window
2008,2008-11-04,2008-08-04,2008-09-26,election_window
2008,2008-11-04,2008-08-04,2008-09-27,election_window
2008,2008-11-04,2008-08-04,2008-09-28,election_window
2008,2008-11-04,2008-08-04,2008-09-29,election_window
2008,2008-11-04,2008-08-04,2008-09-30,election_window
2008,2008-11-04,2008-08-04,2008-10-01,election_window
2008,2008-11-04,2008-08-04,2008-10-02,election_window
2008,2008-11-04,2008-08-04,2008-10-03,election_window
2008,2008-11-04,2008-08-04,2008-10-04,election_window
2008,2008-11-04,2008-08-04,2008-10-05,election_window
2008,2008-11-04,2008-08-04,2008-10-06,election_window
2008,2008-11-04,2008-08-04,2008-10-07,election_window
2008,2008-11-04,2008-08-04,2008-10-08,election_window
2008,2008-11-04,2008-08-04,2008-10-09,election_window
2008,2008-11-04,2008-08-04,2008-10-10,election_window
2008,2008-11-04,2008-08-04,2008-10-11,election_window
2008,2008-11-04,2008-08-04,2008-10-12,election_window
2008,2008-11-04,2008-08-04,2008-10-13,election_window
2008,2008-11-04,2008-08-04,2008-10-14,election_window
2008,2008-11-04,2008-08-04,2008-10-15,election_window
2008,2008-11-04,2008-08-04,2008-10-16,election_window
2008,2008-11-04,2008-08-04,2008-10-17,election_window
2008,2008-11-04,2008-08-04,2008-10-18,election_window
2008,2008-11-04,2008-08-04,2008-10-19,election_window
2008,2008-11-04,2008-08-04,2008-10-20,election_window
2008,2008-11-04,2008-08-04,2008-10-21,election_window
2008,2008-11-04,2008-08-04,2008-10-22,election_window
2008,2008-11-04,2008-08-04,2008-10-23,election_window
2008,2008-11-04,2008-08-04,2008-10-24,election_window
2008,2008-11-04,2008-08-04,2008-10-25,election_window
2008,2008-11-04,2008-08-04,2008-10-26,election_window
2008,2008-11-04,2008-08-04,2008-10-27,election_window
2008,2008-11-04,2008-08-04,2008-10-28,election_window
2008,2008-11-04,2008-08-04,2008-10-29,election_window
2008,2008-11-04,2008-08-04,2008-10-30,election_window
2008,2008-11-04,2008-08-04,2008-10-31,election_window
2008,2008-11-04,2008-08-04,2008-11-01,election_window
2008,2008-11-04,2008-08-04,2008-11-02,election_window
2008,2008-11-04,2008-08-04,2008-11-03,election_window
2008,2008-11-04,2008-08-04,2008-11-04,election_window
2012,2012-11-06,2012-08-06,2012-08-06,election_window
2012,2012-11-06,2012-08-06,2012-08-07,election_window
2012,2012-11-06,2012-08-06,2012-08-08,election_window
2012,2012-11-06,2012-08-06,2012-08-09,election_window
2012,2012-11-06,2012-08-06,2012-08-10,election_window
2012,2012-11-06,2012-08-06,2012-08-11,election_window
2012,2012-11-06,2012-08-06,2012-08-12,election_window
2012,2012-11-06,2012-08-06,2012-08-13,election_window
2012,2012-11-06,2012-08-06,2012-08-14,election_window
2012,2012-11-06,2012-08-06,2012-08-15,election_window
2012,2012-11-06,2012-08-06,2012-08-16,election_window
2012,2012-11-06,2012-08-06,2012-08-17,election_window
2012,2012-11-06,2012-08-06,2012-08-18,election_window
2012,2012-11-06,2012-08-06,2012-08-19,election_window
2012,2012-11-06,2012-08-06,2012-08-20,election_window
2012,2012-11-06,2012-08-06,2012-08-21,election_window
2012,2012-11-06,2012-08-06,2012-08-22,election_window
2012,2012-11-06,2012-08-06,2012-08-23,election_window
2012,2012-11-06,2012-08-06,2012-08-24,election_window
2012,2012-11-06,2012-08-06,2012-08-25,election_window
2012,2012-11-06,2012-08-06,2012-08-26,election_window
2012,2012-11-06,2012-08-06,2012-08-27,election_window
2012,2012-11-06,2012-08-06,2012-08-28,election_window
2012,2012-11-06,2012-08-06,2012-08-29,election_window
2012,2012-11-06,2012-08-06,2012-08-30,election_window
2012,2012-11-06,2012-08-06,2012-08-31,election_window
2012,2012-11-06,2012-08-06,2012-09-01,election_window
2012,2012-11-06,2012-08-06,2012-09-02,election_window
2012,2012-11-06,2012-08-06,2012-09-03,election_window
2012,2012-11-06,2012-08-06,2012-09-04,election_window
2012,2012-11-06,2012-08-06,2012-09-05,election_window
2012,2012-11-06,2012-08-06,2012-09-06,election_window
2012,2012-11-06,2012-08-06,2012-09-07,election_window
2012,2012-11-06,2012-08-06,2012-09-08,election_window
2012,2012-11-06,2012-08-06,2012-09-09,election_window
2012,2012-11-06,2012-08-06,2012-09-10,election_window
2012,2012-11-06,2012-08-06,2012-09-11,election_window
2012,2012-11-06,2012-08-06,2012-09-12,election_window
2012,2012-11-06,2012-08-06,2012-09-13,election_window
2012,2012-11-06,2012-08-06,2012-09-14,election_window
2012,2012-11-06,2012-08-06,2012-09-15,election_window
2012,2012-11-06,2012-08-06,2012-09-16,election_window
2012,2012-11-06,2012-08-06,2012-09-17,election_window
2012,2012-11-06,2012-08-06,2012-09-18,election_window
2012,2012-11-06,2012-08-06,2012-09-19,election_window
2012,2012-11-06,2012-08-06,2012-09-20,election_window
2012,2012-11-06,2012-08-06,2012-09-21,election_window
2012,2012-11-06,2012-08-06,2012-09-22,election_window
2012,2012-11-06,2012-08-06,2012-09-23,election_window
2012,2012-11-06,2012-08-06,2012-09-24,election_window
2012,2012-11-06,2012-08-06,2012-09-25,election_window
2012,2012-11-06,2012-08-06,2012-09-26,election_window
2012,2012-11-06,2012-08-06,2012-09-27,election_window
2012,2012-11-06,2012-08-06,2012-09-28,election_window
2012,2012-11-06,2012-08-06,2012-09-29,election_window
2012,2012-11-06,2012-08-06,2012-09-30,election_window
2012,2012-11-06,2012-08-06,2012-10-01,election_window
2012,2012-11-06,2012-08-06,2012-10-02,election_window
2012,2012-11-06,2012-08-06,2012-10-03,election_window
2012,2012-11-06,2012-08-06,2012-10-04,election_window
2012,2012-11-06,2012-08-06,2012-10-05,election_window
2012,2012-11-06,2012-08-06,2012-10-06,election_window
2012,2012-11-06,2012-08-06,2012-10-07,election_window
2012,2012-11-06,2012-08-06,2012-10-08,election_window
2012,2012-11-06,2012-08-06,2012-10-09,election_window
2012,2012-11-06,2012-08-06,2012-10-10,election_window
2012,2012-11-06,2012-08-06,2012-10-11,election_window
2012,2012-11-06,2012-08-06,2012-10-12,election_window
2012,2012-11-06,2012-08-06,2012-10-13,election_window
2012,2012-11-06,2012-08-06,2012-10-14,election_window
2012,2012-11-06,2012-08-06,2012-10-15,election_window
2012,2012-11-06,2012-08-06,2012-10-16,election_window
2012,2012-11-06,2012-08-06,2012-10-17,election_window
2012,2012-11-06,2012-08-06,2012-10-18,election_window
2012,2012-11-06,2012-08-06,2012-10-19,election_window
2012,2012-11-06,2012-08-06,2012-10-20,election_window
2012,2012-11-06,2012-08-06,2012-10-21,election_window
2012,2012-11-06,2012-08-06,2012-10-22,election_window
2012,2012-11-06,2012-08-06,2012-10-23,election_window
2012,2012-11-06,2012-08-06,2012-10-24,election_window
2012,2012-11-06,2012-08-06,2012-10-25,election_window
2012,2012-11-06,2012-08-06,2012-10-26,election_window
2012,2012-11-06,2012-08-06,2012-10-27,election_window
2012,2012-11-06,2012-08-06,2012-10-28,election_window
2012,2012-11-06,2012-08-06,2012-10-29,election_window
2012,2012-11-06,2012-08-06,2012-10-30,election_window
2012,2012-11-06,2012-08-06,2012-10-31,election_window
2012,2012-11-06,2012-08-06,2012-11-01,election_window
2012,2012-11-06,2012-08-06,2012-11-02,election_window
2012,2012-11-06,2012-08-06,2012-11-03,election_window
2012,2012-11-06,2012-08-06,2012-11-04,election_window
2012,2012-11-06,2012-08-06,2012-11-05,election_window
2012,2012-11-06,2012-08-06,2012-11-06,election_window
2016,2016-11-08,2016-08-08,2016-08-08,election_window
