modeldate,Donald Trump,Joseph R. Biden Jr.,margin
2020-02-27,45.51636,49.3387,3.822340000000004
2020-02-28,45.56311,49.75305,4.18994
2020-02-29,45.57798,49.71992,4.141940000000005
2020-03-01,45.57798,49.71992,4.141940000000005
2020-03-02,45.58205,49.72105,4.138999999999996
2020-03-03,45.58198,49.72177,4.139789999999998
2020-03-04,45.58018,49.72267,4.142490000000002
2020-03-05,45.58027,49.72296,4.142690000000002
2020-03-06,45.57991,49.72327,4.143360000000001
2020-03-07,45.01874,50.37265,5.353909999999999
2020-03-08,44.17655,50.54088,6.3643300000000025
2020-03-09,44.16133,50.35201,6.19068
2020-03-10,44.06461,50.27746,6.212849999999996
2020-03-11,44.42228,49.89032,5.468040000000002
2020-03-12,44.47955,50.02896,5.549409999999995
2020-03-13,44.40431,50.32515,5.920839999999998
2020-03-14,44.40435,50.32616,5.921810000000001
2020-03-15,44.33923,50.21645,5.877220000000001
2020-03-16,43.9433,50.19815,6.254849999999998
2020-03-17,43.84169,50.25461,6.41292
2020-03-18,43.84169,50.25461,6.41292
2020-03-19,44.04239,50.83853,6.796140000000001
2020-03-20,44.03054,50.82883,6.7982900000000015
2020-03-21,44.0462,50.83089,6.784689999999998
2020-03-22,44.40266,50.61597,6.21331
2020-03-23,43.93637,50.42982,6.493450000000003
2020-03-24,43.09573,49.88604,6.790309999999998
2020-03-25,43.6662,49.7995,6.133299999999998
2020-03-26,43.65187,50.05032,6.398449999999997
2020-03-27,43.65187,50.05032,6.398449999999997
2020-03-28,43.45767,49.90126,6.44359
2020-03-29,43.42517,49.84121,6.416039999999995
2020-03-30,43.35962,49.49434,6.1347200000000015
2020-03-31,43.3201,49.45208,6.131980000000006
2020-04-01,43.07454,49.21158,6.137039999999999
2020-04-02,43.07454,49.21158,6.137039999999999
2020-04-03,42.86735,48.70755,5.840199999999996
2020-04-04,42.88903,48.69036,5.80133
2020-04-05,43.04813,48.81426,5.766129999999997
2020-04-06,42.86165,48.78764,5.925990000000006
2020-04-07,42.98745,48.27315,5.2856999999999985
2020-04-08,42.97824,48.28708,5.308840000000004
2020-04-09,42.97815,48.28714,5.308990000000001
2020-04-10,43.00631,47.70352,4.697209999999998
2020-04-11,42.99973,47.63217,4.6324400000000026
2020-04-12,44.14139,47.52043,3.3790399999999963
2020-04-13,44.14134,47.52031,3.3789700000000025
2020-04-14,44.34309,48.32554,3.98245
2020-04-15,44.00019,48.77267,4.7724799999999945
2020-04-16,44.34444,49.0604,4.715960000000003
2020-04-17,44.34667,49.06214,4.715469999999996
2020-04-18,44.35984,49.13372,4.773879999999998
2020-04-19,44.1413,49.22435,5.08305
2020-04-20,43.96822,49.43744,5.46922
2020-04-21,43.6735,49.60074,5.927240000000005
2020-04-22,43.6735,49.60074,5.927240000000005
2020-04-23,43.67319,49.60091,5.927720000000001
2020-04-24,43.67319,49.60091,5.927720000000001
2020-04-25,43.24141,49.70026,6.458849999999998
2020-04-26,43.25308,49.74894,6.49586
2020-04-27,43.26067,49.73192,6.471250000000005
2020-04-28,43.43544,50.19525,6.759810000000002
2020-04-29,43.406,49.4002,5.994199999999999
2020-04-30,43.4062,49.40034,5.994140000000002
2020-05-01,43.42128,49.50872,6.087439999999994
2020-05-02,43.38857,49.51351,6.124939999999995
2020-05-03,43.50818,49.34661,5.838429999999995
2020-05-04,43.26865,49.63767,6.369019999999999
2020-05-05,43.53196,49.26978,5.737819999999999
2020-05-06,43.43481,48.81763,5.382820000000002
2020-05-07,43.43806,48.80709,5.369030000000002
2020-05-08,43.44417,48.80126,5.3570899999999995
2020-05-09,43.24283,48.61443,5.371600000000001
2020-05-10,43.59215,48.77852,5.186370000000004
2020-05-11,43.59695,48.77863,5.18168
2020-05-12,43.57479,48.90092,5.326129999999999
2020-05-13,43.62535,48.87567,5.250320000000002
2020-05-14,43.85975,49.432,5.572250000000004
2020-05-15,43.87293,49.45014,5.577210000000001
2020-05-16,43.76611,49.39969,5.633580000000002
2020-05-17,43.86725,49.42661,5.559359999999998
2020-05-18,43.30438,48.83281,5.52843
2020-05-19,43.27257,49.17999,5.907419999999995
2020-05-20,43.12975,49.13002,6.00027
2020-05-21,43.13844,49.09522,5.956779999999995
2020-05-22,43.14096,49.10199,5.961030000000001
2020-05-23,43.07384,49.02208,5.9482400000000055
2020-05-24,43.08038,48.91119,5.83081
2020-05-25,43.08038,48.91119,5.83081
2020-05-26,43.08163,49.3091,6.227470000000004
2020-05-27,42.95277,48.74837,5.7956
2020-05-28,43.26302,48.89339,5.630369999999999
2020-05-29,43.26302,48.89339,5.630369999999999
2020-05-30,43.16011,48.89961,5.7395
2020-05-31,42.99779,48.76971,5.7719200000000015
2020-06-01,42.92402,49.16464,6.24062
2020-06-02,43.04985,49.18728,6.137430000000002
2020-06-03,43.4407,49.36016,5.919460000000001
2020-06-04,43.13253,49.29779,6.165259999999996
2020-06-05,43.04684,49.61839,6.571549999999995
2020-06-06,42.80068,49.83311,7.032429999999998
2020-06-07,42.57544,49.72993,7.154490000000003
2020-06-08,42.57434,49.73449,7.160150000000002
2020-06-09,42.42978,49.91096,7.481180000000002
2020-06-10,42.37121,49.96016,7.588950000000004
2020-06-11,42.37056,49.96392,7.593360000000004
2020-06-12,42.37156,49.95887,7.587309999999995
2020-06-13,41.77098,49.8357,8.064720000000001
2020-06-14,41.67846,50.02848,8.35002
2020-06-15,41.68262,50.03235,8.349730000000001
2020-06-16,41.42291,50.73281,9.309899999999999
2020-06-17,41.31588,50.46924,9.15336
2020-06-18,41.39189,50.26003,8.868140000000004
2020-06-19,41.3916,50.25796,8.86636
2020-06-20,41.49084,50.37125,8.880410000000005
2020-06-21,41.49467,50.36219,8.867519999999999
2020-06-22,41.57934,50.68838,9.10904
2020-06-23,41.68917,51.03139,9.342220000000005
2020-06-24,41.25831,50.90134,9.643029999999996
2020-06-25,41.0894,50.61274,9.523340000000005
2020-06-26,41.43504,50.73287,9.297829999999998
2020-06-27,41.43563,50.7172,9.281569999999995
2020-06-28,41.43563,50.7172,9.281569999999995
2020-06-29,41.42496,50.56956,9.144600000000004
2020-06-30,41.49869,51.07664,9.577949999999994
2020-07-01,41.42148,50.91803,9.49655
2020-07-02,41.46749,51.05378,9.586290000000005
2020-07-03,41.47327,51.05271,9.579439999999998
2020-07-04,41.47332,51.05271,9.579389999999997
2020-07-05,41.47315,51.05543,9.582280000000004
2020-07-06,41.47358,51.05225,9.578670000000002
2020-07-07,41.50049,51.12413,9.623640000000002
2020-07-08,41.09149,50.60867,9.517179999999996
2020-07-09,41.08826,50.64591,9.557650000000002
2020-07-10,41.10019,50.70353,9.603340000000003
2020-07-11,41.09998,50.71331,9.613329999999998
2020-07-12,41.18194,50.5736,9.391660000000002
2020-07-13,41.23738,50.11588,8.878499999999995
2020-07-14,41.2248,50.16016,8.935359999999996
2020-07-15,41.22783,50.33146,9.103630000000003
2020-07-16,41.22743,50.33147,9.104040000000005
2020-07-17,41.29777,50.30254,9.00477
2020-07-18,41.29278,50.32821,9.035429999999998
2020-07-19,41.63427,50.42188,8.78761
2020-07-20,41.64071,50.41682,8.776110000000003
2020-07-21,41.6405,50.41616,8.775659999999995
2020-07-22,41.80717,49.54337,7.736200000000004
2020-07-23,41.99007,49.88742,7.897349999999996
2020-07-24,41.88662,49.88387,7.997250000000001
2020-07-25,41.88645,49.89065,8.004199999999997
2020-07-26,41.89692,49.94614,8.049219999999998
2020-07-27,41.77862,49.95015,8.171530000000004
2020-07-28,41.84991,50.05038,8.200469999999996
2020-07-29,41.71321,49.99166,8.278450000000007
2020-07-30,41.74516,50.01862,8.27346
2020-07-31,41.95304,50.23535,8.282309999999995
2020-08-01,41.95304,50.23535,8.282309999999995
2020-08-02,41.94745,50.24019,8.292739999999995
2020-08-03,42.26674,50.45176,8.185020000000002
2020-08-04,42.32843,50.43012,8.101690000000005
2020-08-05,42.70132,50.26839,7.567069999999994
2020-08-06,42.47258,50.04284,7.5702599999999975
2020-08-07,42.1278,49.93691,7.809109999999997
2020-08-08,42.1278,49.93691,7.809109999999997
2020-08-09,42.12852,49.93837,7.809849999999997
2020-08-10,41.93478,50.20033,8.265549999999998
2020-08-11,42.05714,50.39481,8.337670000000003
2020-08-12,42.17106,50.39454,8.223480000000002
2020-08-13,42.50779,50.61477,8.10698
2020-08-14,42.44353,50.95879,8.515259999999998
2020-08-15,42.44348,50.95871,8.515230000000003
2020-08-16,42.99366,51.00643,8.012770000000003
2020-08-17,42.82265,51.24281,8.420159999999996
2020-08-18,42.75423,51.15651,8.402279999999998
2020-08-19,42.84595,51.21658,8.370629999999998
2020-08-20,42.56822,51.13716,8.568940000000005
2020-08-21,42.42984,51.02227,8.59243
2020-08-22,42.3592,51.1178,8.758600000000001
2020-08-23,42.22332,51.38851,9.165189999999996
2020-08-24,42.04082,51.36148,9.320660000000004
2020-08-25,42.05629,51.3647,9.308410000000002
2020-08-26,42.22951,50.60667,8.377160000000003
2020-08-27,42.23401,50.60837,8.374360000000003
2020-08-28,41.79545,50.88125,9.085799999999999
2020-08-29,42.18849,50.8252,8.63671
2020-08-30,42.19689,50.40935,8.21246
2020-08-31,43.12097,50.24698,7.126010000000001
2020-09-01,43.24719,50.27854,7.031349999999996
2020-09-02,42.91951,50.31027,7.39076
2020-09-03,42.92747,50.23502,7.307549999999999
2020-09-04,42.96626,50.41644,7.450180000000003
2020-09-05,42.99141,50.43056,7.439149999999998
2020-09-06,42.9928,50.49957,7.506769999999996
2020-09-07,43.0244,50.53539,7.51099
2020-09-08,43.03412,50.5591,7.524979999999999
2020-09-09,42.83969,50.54013,7.70044
2020-09-10,42.9985,50.5377,7.539200000000001
2020-09-11,42.9809,50.52465,7.543750000000003
2020-09-12,42.94479,50.50552,7.5607299999999995
2020-09-13,43.37352,50.64061,7.267090000000003
2020-09-14,43.48723,50.50968,7.022450000000006
2020-09-15,43.35733,50.3639,7.0065700000000035
2020-09-16,43.4184,50.27951,6.861110000000004
2020-09-17,43.61103,50.20645,6.595419999999997
2020-09-18,43.43302,50.14868,6.71566
2020-09-19,43.474,50.12224,6.648240000000001
2020-09-20,43.54544,50.29503,6.749589999999998
2020-09-21,43.4983,50.33154,6.833239999999996
2020-09-22,43.5793,50.4521,6.872799999999998
2020-09-23,43.15917,50.4505,7.291329999999995
2020-09-24,43.12411,50.22187,7.097760000000001
2020-09-25,43.15024,50.33044,7.180200000000006
2020-09-26,43.18105,50.37796,7.196910000000003
2020-09-27,42.97492,50.25681,7.281890000000004
2020-09-28,43.17769,50.13454,6.956850000000003
2020-09-29,43.18553,50.24551,7.059980000000003
2020-09-30,42.8853,50.53429,7.648989999999998
2020-10-01,42.67263,50.91502,8.24239
2020-10-02,42.96704,50.58022,7.61318
2020-10-03,43.07998,50.52537,7.445390000000003
2020-10-04,42.7732,50.76752,7.994319999999995
2020-10-05,42.7356,50.95763,8.222030000000004
2020-10-06,42.40245,51.44818,9.045729999999999
2020-10-07,42.24384,51.71245,9.468609999999998
2020-10-08,42.15925,51.93617,9.776919999999997
2020-10-09,41.98857,52.07363,10.085059999999999
2020-10-10,41.95506,52.05375,10.098689999999998
2020-10-11,41.86169,52.22438,10.362689999999994
2020-10-12,41.97445,52.33461,10.36016
2020-10-13,41.8651,52.38095,10.51585
2020-10-14,41.97128,52.22545,10.254170000000002
2020-10-15,41.94971,52.40731,10.4576
2020-10-16,41.80235,52.32102,10.51867
2020-10-17,41.78012,52.43217,10.652050000000003
2020-10-18,41.85215,52.42488,10.57273
2020-10-19,41.74397,52.47891,10.734940000000002
2020-10-20,41.90575,52.20845,10.302700000000002
2020-10-21,42.22536,52.13742,9.912059999999997
2020-10-22,42.19737,52.07342,9.87605
2020-10-23,42.36177,52.02253,9.660760000000003
2020-10-24,42.7762,51.95222,9.176019999999994
2020-10-25,42.86662,52.02411,9.157490000000003
2020-10-26,42.84363,52.27547,9.431840000000001
2020-10-27,42.78127,51.94981,9.16854
2020-10-28,42.85682,51.83824,8.98142
2020-10-29,43.18202,52.03194,8.849919999999997
2020-10-30,43.22344,52.06568,8.842240000000004
2020-10-31,43.39307,51.99537,8.6023
2020-11-01,43.50872,51.99525,8.486530000000002
2020-11-02,43.40869,51.81667,8.407980000000002
2020-11-03,43.40869,51.81667,8.407980000000002
